,,MAE,MAE,RMSE,RMSE
window,,A_pre,B_pre,A_pre,B_pre
geo_id,horizon,,,,
COUNTRY_TOTAL,8,3419.580233537978,3419.580233537978,3500.558765658493,3500.558765658493
COUNTRY_TOTAL,9,3449.363338788869,3449.363338788869,3529.658643722584,3529.658643722584
COUNTRY_TOTAL,10,3479.5592185592177,3479.5592185592177,3559.1733666239543,3559.1733666239543
COUNTRY_TOTAL,11,3510.24712537662,3510.24712537662,3589.180627864761,3589.180627864761
COUNTRY_TOTAL,12,3541.250959990088,3541.250959990088,3619.5084003018396,3619.5084003018396
DHA_DIV_ex_DHA_METRO,1,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,2,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,3,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,4,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,5,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,6,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,7,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,8,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,9,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,10,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,11,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_DIV_ex_DHA_METRO,12,72.53846153846153,72.53846153846153,117.73144145763403,117.73144145763403
DHA_METRO,1,348.1648597487522,348.1648597487522,378.9918192582065,378.9918192582065
DHA_METRO,2,351.03060753060765,351.03060753060765,382.0761117798234,382.0761117798234
DHA_METRO,3,353.9289493575207,353.9289493575207,385.20065284237126,385.20065284237126
DHA_METRO,4,356.8740779768177,356.8740779768177,388.3808280341342,388.3808280341342
DHA_METRO,5,359.8578838785735,359.8578838785735,391.6079784011893,391.6079784011893
DHA_METRO,6,362.87790835707517,362.87790835707517,394.87951123505906,394.87951123505906
DHA_METRO,7,365.94411571334666,365.94411571334666,398.2063031113809,398.2063031113809
DHA_METRO,8,369.5340676537859,369.5340676537859,401.5808789081993,401.5808789081993
