geo_id,horizon,model,n_obs,MAE,RMSE
MYM,11,persistence,184,96.03260869565217,165.02684234891055
RAJ,11,persistence,184,213.1576086956522,388.06778178672545
RAN,11,persistence,184,59.52717391304348,114.92622870119014
SYL,11,persistence,184,16.679347826086957,33.56442539615289
BAR,12,persistence,183,437.3606557377049,763.2615054377236
CHA,12,persistence,183,535.983606557377,884.0915593115351
DHA_DIV,12,persistence,183,2098.3060109289618,3283.9484963646973
DHA_METRO,12,persistence,183,1500.3551912568305,2287.058005911606
KHU,12,persistence,183,406.7103825136612,743.2124040916085
MYM,12,persistence,183,101.40983606557377,172.2654578786533
RAJ,12,persistence,183,224.0,405.76576731348007
RAN,12,persistence,183,62.87431693989071,119.9130377065891
SYL,12,persistence,183,17.44808743169399,34.56877203488721
BAR,1,seasonal_naive,142,521.830985915493,911.6001949829529
CHA,1,seasonal_naive,142,495.36619718309856,942.7788263919368
DHA_DIV,1,seasonal_naive,142,1769.225352112676,3416.1717330747815
DHA_METRO,1,seasonal_naive,142,1162.0,2300.8377531232363
KHU,1,seasonal_naive,142,411.64084507042253,770.7691558108016
MYM,1,seasonal_naive,142,93.19718309859155,188.77615479641042
RAJ,1,seasonal_naive,142,246.85915492957747,447.7711783590075
RAN,1,seasonal_naive,142,67.85915492957747,140.08392856517668
SYL,1,seasonal_naive,142,19.028169014084508,41.50241805275148
BAR,2,seasonal_naive,141,525.8156028368794,912.4617858509462
CHA,2,seasonal_naive,141,510.0496453900709,946.398882063811
DHA_DIV,2,seasonal_naive,141,1811.7304964539007,3418.5551860813493
DHA_METRO,2,seasonal_naive,141,1182.787234042553,2306.33082610293
KHU,2,seasonal_naive,141,413.9432624113475,772.7576574600348
MYM,2,seasonal_naive,141,93.57446808510639,187.27606959015012
RAJ,2,seasonal_naive,141,248.1631205673759,449.71317099926347
RAN,2,seasonal_naive,141,67.87943262411348,139.2210090528801
SYL,2,seasonal_naive,141,18.893617021276597,41.44020728883778
BAR,3,seasonal_naive,140,529.7785714285715,914.5630767905358
CHA,3,seasonal_naive,140,525.1428571428571,952.838383837619
DHA_DIV,3,seasonal_naive,140,1878.1785714285713,3435.4876769639895
DHA_METRO,3,seasonal_naive,140,1226.7642857142857,2317.5878331329136
KHU,3,seasonal_naive,140,416.6,780.876357507567
MYM,3,seasonal_naive,140,93.94285714285714,186.45803817481294
RAJ,3,seasonal_naive,140,249.88571428571427,454.25172379577003
RAN,3,seasonal_naive,140,68.84285714285714,138.6746964250199
SYL,3,seasonal_naive,140,18.95,41.38728238066789
BAR,4,seasonal_naive,139,537.4172661870504,918.5680637654372
CHA,4,seasonal_naive,139,541.8992805755396,963.1945573951731
DHA_DIV,4,seasonal_naive,139,1944.5179856115108,3463.532332146957
DHA_METRO,4,seasonal_naive,139,1272.0071942446043,2332.8065182947685
KHU,4,seasonal_naive,139,420.6043165467626,793.4870586406661
MYM,4,seasonal_naive,139,95.19424460431655,186.12968326628013
RAJ,4,seasonal_naive,139,252.75539568345323,460.37019042311573
RAN,4,seasonal_naive,139,69.46043165467626,138.2304144608356
SYL,4,seasonal_naive,139,19.014388489208635,41.29878845750265
BAR,5,seasonal_naive,138,546.695652173913,923.8579004857052
CHA,5,seasonal_naive,138,558.8333333333334,973.7335848181979
DHA_DIV,5,seasonal_naive,138,2013.7753623188405,3494.860536082472
DHA_METRO,5,seasonal_naive,138,1317.0217391304348,2348.485514144153
KHU,5,seasonal_naive,138,426.78985507246375,809.1239357961554
MYM,5,seasonal_naive,138,97.51449275362319,186.03235264836076
RAJ,5,seasonal_naive,138,257.3333333333333,468.2561853008071
RAN,5,seasonal_naive,138,70.68115942028986,137.470418425307
SYL,5,seasonal_naive,138,19.268115942028984,41.17697752702193
BAR,6,seasonal_naive,137,555.2846715328467,929.6039106291099
CHA,6,seasonal_naive,137,577.1021897810219,986.6147718482615
DHA_DIV,6,seasonal_naive,137,2072.2481751824816,3530.47950052817
DHA_METRO,6,seasonal_naive,137,1359.8102189781023,2365.756307211182
KHU,6,seasonal_naive,137,435.35766423357666,826.4084990483036
MYM,6,seasonal_naive,137,99.98540145985402,185.81342184359633
RAJ,6,seasonal_naive,137,263.5036496350365,476.40126005704644
RAN,6,seasonal_naive,137,71.47445255474453,136.6159302891106
SYL,6,seasonal_naive,137,19.35036496350365,40.94851672402567
BAR,7,seasonal_naive,136,566.4485294117648,936.7544839686085
CHA,7,seasonal_naive,136,593.8455882352941,1000.6727332737947
DHA_DIV,7,seasonal_naive,136,2130.4632352941176,3572.5099771399805
DHA_METRO,7,seasonal_naive,136,1404.8235294117646,2386.088554147833
KHU,7,seasonal_naive,136,445.4779411764706,845.4797324248385
MYM,7,seasonal_naive,136,102.28676470588235,185.28509431810912
RAJ,7,seasonal_naive,136,269.3382352941176,485.0159487978053
RAN,7,seasonal_naive,136,72.44117647058823,135.92910132946253
SYL,7,seasonal_naive,136,19.625,40.576815315848414
BAR,8,seasonal_naive,135,577.6888888888889,944.4146844984444
CHA,8,seasonal_naive,135,612.1703703703704,1017.1170914785464
DHA_DIV,8,seasonal_naive,135,2186.614814814815,3621.175688967655
DHA_METRO,8,seasonal_naive,135,1446.414814814815,2410.736715427695
KHU,8,seasonal_naive,135,456.5851851851852,865.2871370993732
MYM,8,seasonal_naive,135,104.54074074074074,185.4350040869866
RAJ,8,seasonal_naive,135,275.5037037037037,493.5056680975857
RAN,8,seasonal_naive,135,73.31851851851852,135.88066659961436
SYL,8,seasonal_naive,135,19.8,40.2007001965923
BAR,9,seasonal_naive,134,587.0597014925373,953.6536418725178
CHA,9,seasonal_naive,134,627.7611940298508,1036.1913109246868
DHA_DIV,9,seasonal_naive,134,2245.686567164179,3683.7572723770827
DHA_METRO,9,seasonal_naive,134,1488.1492537313434,2444.608011186703
KHU,9,seasonal_naive,134,469.6865671641791,885.2356798927751
MYM,9,seasonal_naive,134,106.9776119402985,186.95771331283493
RAJ,9,seasonal_naive,134,280.75373134328356,502.1790651080905
RAN,9,seasonal_naive,134,74.04477611940298,136.85459109754999
SYL,9,seasonal_naive,134,20.097014925373134,39.87508480316627
BAR,10,seasonal_naive,133,596.9323308270676,965.1496280428637
CHA,10,seasonal_naive,133,644.6842105263158,1057.2376227591617
DHA_DIV,10,seasonal_naive,133,2308.218045112782,3759.0202240893545
DHA_METRO,10,seasonal_naive,133,1530.3233082706768,2486.206699347361
KHU,10,seasonal_naive,133,482.69172932330827,904.8220113262338
MYM,10,seasonal_naive,133,109.80451127819549,189.62535283049635
RAJ,10,seasonal_naive,133,286.54887218045116,511.318118244516
RAN,10,seasonal_naive,133,75.0827067669173,138.93456024357363
SYL,10,seasonal_naive,133,20.30827067669173,39.5969354020369
BAR,11,seasonal_naive,132,607.219696969697,977.7914546506728
CHA,11,seasonal_naive,132,664.8257575757576,1079.4008684675425
DHA_DIV,11,seasonal_naive,132,2380.742424242424,3844.3404032894427
DHA_METRO,11,seasonal_naive,132,1584.371212121212,2538.401535624458
KHU,11,seasonal_naive,132,498.22727272727275,923.6047790471787
MYM,11,seasonal_naive,132,113.77272727272727,193.54073253843788
RAJ,11,seasonal_naive,132,293.9318181818182,520.2038134959773
RAN,11,seasonal_naive,132,77.3030303030303,141.86634768704172
SYL,11,seasonal_naive,132,20.522727272727273,39.63670245893548
BAR,12,seasonal_naive,131,617.4580152671756,990.684338230532
