geo_id,geo_name,origin_week,target_week,horizon,cases,cases_nonzero_recent_4,cases_zero_run_length,cases_weeks_since_nonzero,cases_outbreak_flag_4_8,y_pred,model,fit_status,model_rank_from_backtest,is_primary_model
MYM,Mymensingh,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,193.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
MYM,Mymensingh,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,231.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
MYM,Mymensingh,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,179.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
MYM,Mymensingh,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,208.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
RAJ,Rajshahi,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,218.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
RAJ,Rajshahi,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,211.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
RAJ,Rajshahi,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,273.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
RAJ,Rajshahi,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,281.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
RAN,Rangpur,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,118.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
RAN,Rangpur,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,184.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
RAN,Rangpur,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,145.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
RAN,Rangpur,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,106.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
SYL,Sylhet,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,20.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
SYL,Sylhet,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,32.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
SYL,Sylhet,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,20.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
SYL,Sylhet,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,26.0,seasonal_naive_52,naive_same_week_last_year,3.0,0.0
BAR,Barishal,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,0.0,residual_random_forest,trained_full_history_low_origin_guardrail,4.0,0.0
BAR,Barishal,2025-09-15,2025-09-29,2,0.0,0.0,4.0,4.0,0.0,1.4693353997333642,residual_random_forest,trained_full_history_low_origin_guardrail,4.0,0.0
BAR,Barishal,2025-09-15,2025-10-06,3,0.0,0.0,4.0,4.0,0.0,7.0,residual_random_forest,trained_full_history_low_origin_guardrail,4.0,0.0
BAR,Barishal,2025-09-15,2025-10-13,4,0.0,0.0,4.0,4.0,0.0,8.68384054786277,residual_random_forest,trained_full_history_low_origin_guardrail,4.0,0.0
CHA,Chattogram,2025-09-15,2025-09-22,1,0.0,0.0,4.0,4.0,0.0,0.0,residual_random_forest,trained_full_history_low_origin_guardrail,4.0,0.0
